approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_20percent,7,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,24.2497
rl1,cenario1_tempo_fixo/310s_20percent,7,1,SIMILARITY_HIGH,1,ALLOCATE,75.2662
rl1,cenario1_tempo_fixo/310s_20percent,8,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,8,0,SIMILARITY_MEDIUM,1,ALLOCATE,13.9942
rl1,cenario1_tempo_fixo/310s_20percent,8,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,28.1209
rl1,cenario1_tempo_fixo/310s_20percent,8,1,SIMILARITY_HIGH,1,ALLOCATE,78.9402
rl1,cenario1_tempo_fixo/310s_20percent,9,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,9,0,SIMILARITY_MEDIUM,1,ALLOCATE,13.9942
rl1,cenario1_tempo_fixo/310s_20percent,9,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,39.5449
rl1,cenario1_tempo_fixo/310s_20percent,9,1,SIMILARITY_HIGH,1,ALLOCATE,87.0
rl1,cenario1_tempo_fixo/310s_20percent,10,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,10,0,SIMILARITY_MEDIUM,1,ALLOCATE,13.9942
rl1,cenario1_tempo_fixo/310s_20percent,10,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,39.5449
rl1,cenario1_tempo_fixo/310s_20percent,10,1,SIMILARITY_HIGH,1,ALLOCATE,89.0417
rl1,cenario1_tempo_fixo/310s_20percent,11,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,11,0,SIMILARITY_MEDIUM,1,ALLOCATE,13.9942
rl1,cenario1_tempo_fixo/310s_20percent,11,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,46.4707
